body_style,condition,country,currency,drive,engine_size,euro,fuel,km,link,location,make,model,no_accident,power,price,registered,seller,service_history,transmission,version,year
"
                SUV                ","
                Second hand                ","
                Germania                ",EUR,"
                Fata                ","
                1 500 cm3        ","
                Euro 6                ","
                Diesel                ","
                52 000 km        ","https://www.autovit.ro/anunt/ford-kuga-ID7GzSPD.html,https://www.autovit.ro/anunt/opel-astra-k-ID7GzEKb.html,https://www.autovit.ro/anunt/fiat-500-ID7GzSP5.html,https://www.autovit.ro/anunt/bmw-x1-ID7GzSOp.html,https://www.autovit.ro/anunt/bmw-x6-ID7GzSKP.html,https://www.autovit.ro/anunt/audi-a8-ID7GzkR9.html,https://www.autovit.ro/anunt/kia-picanto-ID7GzSnD.html,https://www.autovit.ro/anunt/audi-a8-ID7GznhJ.html","
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                Ford                ","
                Kuga                ","
                Da                ","
                120 CP        ",14 650        ,na,"
                Proprietar                ","
                Da                ","
                Manuala                ",na,"
                2018         "
"
                Compacta                ","
                Nou                ","
                Polonia                ",EUR,"
                Fata                ","
                1 199 cm3        ","
                Euro 6                ","
                Benzina                ","
                1 km        ","https://www.autovit.ro/anunt/ford-kuga-ID7GzSPD.html,https://www.autovit.ro/anunt/opel-astra-k-ID7GzEKb.html,https://www.autovit.ro/anunt/fiat-500-ID7GzSP5.html,https://www.autovit.ro/anunt/bmw-x1-ID7GzSOp.html,https://www.autovit.ro/anunt/bmw-x6-ID7GzSKP.html,https://www.autovit.ro/anunt/audi-a8-ID7GzkR9.html,https://www.autovit.ro/anunt/kia-picanto-ID7GzSnD.html,https://www.autovit.ro/anunt/audi-a8-ID7GznhJ.html","
                                                Calea Moldovei, nr 189 - 600351 Bacau, Judet Bacau (Romania)                                    ","
                Opel                ","
                Astra                ","
                Da                ","
                145 CP        ",24 690        ,na,"
                Firma                ",na,"
                Manuala                ","
                K                ","
                2019         "
"
                Masina de oras                ","
                Second hand                ","
                Spania                ",EUR,"
                Fata                ","
                1 000 cm3        ","
                Euro 6                ","
                Benzina                ","
                3 500 km        ","https://www.autovit.ro/anunt/ford-kuga-ID7GzSPD.html,https://www.autovit.ro/anunt/opel-astra-k-ID7GzEKb.html,https://www.autovit.ro/anunt/fiat-500-ID7GzSP5.html,https://www.autovit.ro/anunt/bmw-x1-ID7GzSOp.html,https://www.autovit.ro/anunt/bmw-x6-ID7GzSKP.html,https://www.autovit.ro/anunt/audi-a8-ID7GzkR9.html,https://www.autovit.ro/anunt/kia-picanto-ID7GzSnD.html,https://www.autovit.ro/anunt/audi-a8-ID7GznhJ.html","
                                                Bucuresti, Judet Bucuresti, Sectorul 6                                    ","
                Kia                ","
                Picanto                ","
                Da                ","
                80 CP        ",8 250        ,"
                Da                ","
                Proprietar                ","
                Da                ","
                Manuala                ",na,"
                2019         "
"
                SUV                ","
                Second hand                ",na,EUR,"
                4x4 (automat)                ","
                1 993 cm3        ","
                Euro 5                ","
                Diesel                ","
                189 000 km        ","https://www.autovit.ro/anunt/ford-kuga-ID7GzSPD.html,https://www.autovit.ro/anunt/opel-astra-k-ID7GzEKb.html,https://www.autovit.ro/anunt/fiat-500-ID7GzSP5.html,https://www.autovit.ro/anunt/bmw-x1-ID7GzSOp.html,https://www.autovit.ro/anunt/bmw-x6-ID7GzSKP.html,https://www.autovit.ro/anunt/audi-a8-ID7GzkR9.html,https://www.autovit.ro/anunt/kia-picanto-ID7GzSnD.html,https://www.autovit.ro/anunt/audi-a8-ID7GznhJ.html","
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                BMW                ","
                X1                ","
                Da                ","
                177 CP        ",9 990        ,na,"
                Proprietar                ","
                Da                ","
                Automata                ",na,"
                2011         "
"
                Sedan                ","
                Second hand                ","
                Germania                ",EUR,"
                4x4 (automat)                ","
                3 000 cm3        ","
                Euro 6                ","
                Diesel                ","
                156 500 km        ","https://www.autovit.ro/anunt/ford-kuga-ID7GzSPD.html,https://www.autovit.ro/anunt/opel-astra-k-ID7GzEKb.html,https://www.autovit.ro/anunt/fiat-500-ID7GzSP5.html,https://www.autovit.ro/anunt/bmw-x1-ID7GzSOp.html,https://www.autovit.ro/anunt/bmw-x6-ID7GzSKP.html,https://www.autovit.ro/anunt/audi-a8-ID7GzkR9.html,https://www.autovit.ro/anunt/kia-picanto-ID7GzSnD.html,https://www.autovit.ro/anunt/audi-a8-ID7GznhJ.html","
                                                PITESTI - 117141 Pitesti, Judet Arges (Romania)                                    ","
                Audi                ","
                A8                ","
                Da                ","
                262 CP        ",31 999        ,na,"
                Firma                ","
                Da                ","
                Automata                ",na,"
                2017         "
"
                Masina mica                ","
                Second hand                ",na,EUR,na,"
                1 242 cm3        ",na,"
                Benzina                ","
                81 330 km        ","https://www.autovit.ro/anunt/ford-kuga-ID7GzSPD.html,https://www.autovit.ro/anunt/opel-astra-k-ID7GzEKb.html,https://www.autovit.ro/anunt/fiat-500-ID7GzSP5.html,https://www.autovit.ro/anunt/bmw-x1-ID7GzSOp.html,https://www.autovit.ro/anunt/bmw-x6-ID7GzSKP.html,https://www.autovit.ro/anunt/audi-a8-ID7GzkR9.html,https://www.autovit.ro/anunt/kia-picanto-ID7GzSnD.html,https://www.autovit.ro/anunt/audi-a8-ID7GznhJ.html","
                                                Sos. Bucuresti-Ploiesti, Nr145, - 235467 Otopeni, Judet Bucuresti - Ilfov (Romania)                                    ","
                Fiat                ","
                500                ",na,"
                69 CP        ",6 450        ,"
                Da                ","
                Firma                ",na,"
                Manuala                ",na,"
                2015         "
"
                SUV                ","
                Second hand                ",na,EUR,"
                4x4 (automat)                ","
                2 993 cm3        ","
                Euro 6                ","
                Diesel                ","
                189 000 km        ","https://www.autovit.ro/anunt/ford-kuga-ID7GzSPD.html,https://www.autovit.ro/anunt/opel-astra-k-ID7GzEKb.html,https://www.autovit.ro/anunt/fiat-500-ID7GzSP5.html,https://www.autovit.ro/anunt/bmw-x1-ID7GzSOp.html,https://www.autovit.ro/anunt/bmw-x6-ID7GzSKP.html,https://www.autovit.ro/anunt/audi-a8-ID7GzkR9.html,https://www.autovit.ro/anunt/kia-picanto-ID7GzSnD.html,https://www.autovit.ro/anunt/audi-a8-ID7GznhJ.html","
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                BMW                ","
                X6                ","
                Da                ","
                313 CP        ",38 900        ,na,"
                Proprietar                ","
                Da                ","
                Automata                ",na,"
                2017         "
"
                Sedan                ","
                Second hand                ","
                Germania                ",EUR,"
                4x4 (automat)                ","
                3 000 cm3        ","
                Euro 6                ","
                Diesel                ","
                176 500 km        ","https://www.autovit.ro/anunt/ford-kuga-ID7GzSPD.html,https://www.autovit.ro/anunt/opel-astra-k-ID7GzEKb.html,https://www.autovit.ro/anunt/fiat-500-ID7GzSP5.html,https://www.autovit.ro/anunt/bmw-x1-ID7GzSOp.html,https://www.autovit.ro/anunt/bmw-x6-ID7GzSKP.html,https://www.autovit.ro/anunt/audi-a8-ID7GzkR9.html,https://www.autovit.ro/anunt/kia-picanto-ID7GzSnD.html,https://www.autovit.ro/anunt/audi-a8-ID7GznhJ.html","
                                                PITESTI - 117141 Pitesti, Judet Arges (Romania)                                    ","
                Audi                ","
                A8                ","
                Da                ","
                258 CP        ",26 890        ,na,"
                Firma                ",na,"
                Automata                ",na,"
                2015         "
body_style,condition,country,currency,drive,engine_size,euro,fuel,km,link,location,make,model,no_accident,power,price,registered,seller,service_history,transmission,version,year
"
                SUV                ","
                Second hand                ","
                Germania                ",EUR,"
                Fata                ","
                1 500 cm3        ","
                Euro 6                ","
                Diesel                ","
                52 000 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                Ford                ","
                Kuga                ","
                Da                ","
                120 CP        ",14 650        ,na,"
                Proprietar                ","
                Da                ","
                Manuala                ",na,"
                2018         "
"
                Masina de oras                ","
                Second hand                ","
                Spania                ",EUR,"
                Fata                ","
                1 000 cm3        ","
                Euro 6                ","
                Benzina                ","
                3 500 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 6                                    ","
                Kia                ","
                Picanto                ","
                Da                ","
                80 CP        ",8 250        ,"
                Da                ","
                Proprietar                ","
                Da                ","
                Manuala                ",na,"
                2019         "
"
                SUV                ","
                Second hand                ",na,EUR,"
                4x4 (automat)                ","
                1 993 cm3        ","
                Euro 5                ","
                Diesel                ","
                189 000 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                BMW                ","
                X1                ","
                Da                ","
                177 CP        ",9 990        ,na,"
                Proprietar                ","
                Da                ","
                Automata                ",na,"
                2011         "
"
                SUV                ","
                Second hand                ",na,EUR,"
                4x4 (automat)                ","
                2 993 cm3        ","
                Euro 6                ","
                Diesel                ","
                189 000 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                BMW                ","
                X6                ","
                Da                ","
                313 CP        ",38 900        ,na,"
                Proprietar                ","
                Da                ","
                Automata                ",na,"
                2017         "
"
                Sedan                ","
                Second hand                ","
                Germania                ",EUR,"
                4x4 (automat)                ","
                3 000 cm3        ","
                Euro 6                ","
                Diesel                ","
                156 500 km        ",,"
                                                PITESTI - 117141 Pitesti, Judet Arges (Romania)                                    ","
                Audi                ","
                A8                ","
                Da                ","
                262 CP        ",31 999        ,na,"
                Firma                ","
                Da                ","
                Automata                ",na,"
                2017         "
"
                Sedan                ","
                Second hand                ","
                Germania                ",EUR,"
                4x4 (automat)                ","
                3 000 cm3        ","
                Euro 6                ","
                Diesel                ","
                176 500 km        ",,"
                                                PITESTI - 117141 Pitesti, Judet Arges (Romania)                                    ","
                Audi                ","
                A8                ","
                Da                ","
                258 CP        ",26 890        ,na,"
                Firma                ",na,"
                Automata                ",na,"
                2015         "
"
                Masina mica                ","
                Second hand                ",na,EUR,na,"
                1 242 cm3        ",na,"
                Benzina                ","
                81 330 km        ",,"
                                                Sos. Bucuresti-Ploiesti, Nr145, - 235467 Otopeni, Judet Bucuresti - Ilfov (Romania)                                    ","
                Fiat                ","
                500                ",na,"
                69 CP        ",6 450        ,"
                Da                ","
                Firma                ",na,"
                Manuala                ",na,"
                2015         "
"
                Compacta                ","
                Nou                ","
                Polonia                ",EUR,"
                Fata                ","
                1 199 cm3        ","
                Euro 6                ","
                Benzina                ","
                1 km        ",,"
                                                Calea Moldovei, nr 189 - 600351 Bacau, Judet Bacau (Romania)                                    ","
                Opel                ","
                Astra                ","
                Da                ","
                145 CP        ",24 690        ,na,"
                Firma                ",na,"
                Manuala                ","
                K                ","
                2019         "
body_style,condition,country,currency,drive,engine_size,euro,fuel,km,link,location,make,model,no_accident,power,price,registered,seller,service_history,transmission,version,year
"
                SUV                ","
                Second hand                ","
                Germania                ",EUR,"
                Fata                ","
                1 500 cm3        ","
                Euro 6                ","
                Diesel                ","
                52 000 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                Ford                ","
                Kuga                ","
                Da                ","
                120 CP        ",14 650        ,na,"
                Proprietar                ","
                Da                ","
                Manuala                ",na,"
                2018         "
"
                SUV                ","
                Second hand                ",na,EUR,"
                4x4 (automat)                ","
                1 993 cm3        ","
                Euro 5                ","
                Diesel                ","
                189 000 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                BMW                ","
                X1                ","
                Da                ","
                177 CP        ",9 990        ,na,"
                Proprietar                ","
                Da                ","
                Automata                ",na,"
                2011         "
"
                SUV                ","
                Second hand                ",na,EUR,"
                4x4 (automat)                ","
                2 993 cm3        ","
                Euro 6                ","
                Diesel                ","
                189 000 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                BMW                ","
                X6                ","
                Da                ","
                313 CP        ",38 900        ,na,"
                Proprietar                ","
                Da                ","
                Automata                ",na,"
                2017         "
"
                Masina de oras                ","
                Second hand                ","
                Spania                ",EUR,"
                Fata                ","
                1 000 cm3        ","
                Euro 6                ","
                Benzina                ","
                3 500 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 6                                    ","
                Kia                ","
                Picanto                ","
                Da                ","
                80 CP        ",8 250        ,"
                Da                ","
                Proprietar                ","
                Da                ","
                Manuala                ",na,"
                2019         "
"
                Sedan                ","
                Second hand                ","
                Germania                ",EUR,"
                4x4 (automat)                ","
                3 000 cm3        ","
                Euro 6                ","
                Diesel                ","
                176 500 km        ",,"
                                                PITESTI - 117141 Pitesti, Judet Arges (Romania)                                    ","
                Audi                ","
                A8                ","
                Da                ","
                258 CP        ",26 890        ,na,"
                Firma                ",na,"
                Automata                ",na,"
                2015         "
"
                Masina mica                ","
                Second hand                ",na,EUR,na,"
                1 242 cm3        ",na,"
                Benzina                ","
                81 330 km        ",,"
                                                Sos. Bucuresti-Ploiesti, Nr145, - 235467 Otopeni, Judet Bucuresti - Ilfov (Romania)                                    ","
                Fiat                ","
                500                ",na,"
                69 CP        ",6 450        ,"
                Da                ","
                Firma                ",na,"
                Manuala                ",na,"
                2015         "
"
                Sedan                ","
                Second hand                ","
                Germania                ",EUR,"
                4x4 (automat)                ","
                3 000 cm3        ","
                Euro 6                ","
                Diesel                ","
                156 500 km        ",,"
                                                PITESTI - 117141 Pitesti, Judet Arges (Romania)                                    ","
                Audi                ","
                A8                ","
                Da                ","
                262 CP        ",31 999        ,na,"
                Firma                ","
                Da                ","
                Automata                ",na,"
                2017         "
"
                Compacta                ","
                Nou                ","
                Polonia                ",EUR,"
                Fata                ","
                1 199 cm3        ","
                Euro 6                ","
                Benzina                ","
                1 km        ",,"
                                                Calea Moldovei, nr 189 - 600351 Bacau, Judet Bacau (Romania)                                    ","
                Opel                ","
                Astra                ","
                Da                ","
                145 CP        ",24 690        ,na,"
                Firma                ",na,"
                Manuala                ","
                K                ","
                2019         "
body_style,condition,country,currency,drive,engine_size,euro,fuel,km,link,location,make,model,no_accident,power,price,registered,seller,service_history,transmission,version,year
"
                Sedan                ","
                Second hand                ","
                Germania                ",EUR,"
                4x4 (automat)                ","
                3 000 cm3        ","
                Euro 6                ","
                Diesel                ","
                176 500 km        ",,"
                                                PITESTI - 117141 Pitesti, Judet Arges (Romania)                                    ","
                Audi                ","
                A8                ","
                Da                ","
                258 CP        ",26 890        ,na,"
                Firma                ",na,"
                Automata                ",na,"
                2015         "
"
                Masina mica                ","
                Second hand                ",na,EUR,na,"
                1 242 cm3        ",na,"
                Benzina                ","
                81 330 km        ",,"
                                                Sos. Bucuresti-Ploiesti, Nr145, - 235467 Otopeni, Judet Bucuresti - Ilfov (Romania)                                    ","
                Fiat                ","
                500                ",na,"
                69 CP        ",6 450        ,"
                Da                ","
                Firma                ",na,"
                Manuala                ",na,"
                2015         "
"
                Compacta                ","
                Nou                ","
                Polonia                ",EUR,"
                Fata                ","
                1 199 cm3        ","
                Euro 6                ","
                Benzina                ","
                1 km        ",,"
                                                Calea Moldovei, nr 189 - 600351 Bacau, Judet Bacau (Romania)                                    ","
                Opel                ","
                Astra                ","
                Da                ","
                145 CP        ",24 690        ,na,"
                Firma                ",na,"
                Manuala                ","
                K                ","
                2019         "
"
                Sedan                ","
                Second hand                ","
                Germania                ",EUR,"
                4x4 (automat)                ","
                3 000 cm3        ","
                Euro 6                ","
                Diesel                ","
                156 500 km        ",,"
                                                PITESTI - 117141 Pitesti, Judet Arges (Romania)                                    ","
                Audi                ","
                A8                ","
                Da                ","
                262 CP        ",31 999        ,na,"
                Firma                ","
                Da                ","
                Automata                ",na,"
                2017         "
"
                Masina de oras                ","
                Second hand                ","
                Spania                ",EUR,"
                Fata                ","
                1 000 cm3        ","
                Euro 6                ","
                Benzina                ","
                3 500 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 6                                    ","
                Kia                ","
                Picanto                ","
                Da                ","
                80 CP        ",8 250        ,"
                Da                ","
                Proprietar                ","
                Da                ","
                Manuala                ",na,"
                2019         "
"
                SUV                ","
                Second hand                ","
                Germania                ",EUR,"
                Fata                ","
                1 500 cm3        ","
                Euro 6                ","
                Diesel                ","
                52 000 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                Ford                ","
                Kuga                ","
                Da                ","
                120 CP        ",14 650        ,na,"
                Proprietar                ","
                Da                ","
                Manuala                ",na,"
                2018         "
"
                SUV                ","
                Second hand                ",na,EUR,"
                4x4 (automat)                ","
                1 993 cm3        ","
                Euro 5                ","
                Diesel                ","
                189 000 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                BMW                ","
                X1                ","
                Da                ","
                177 CP        ",9 990        ,na,"
                Proprietar                ","
                Da                ","
                Automata                ",na,"
                2011         "
"
                SUV                ","
                Second hand                ",na,EUR,"
                4x4 (automat)                ","
                2 993 cm3        ","
                Euro 6                ","
                Diesel                ","
                189 000 km        ",,"
                                                Bucuresti, Judet Bucuresti, Sectorul 3                                    ","
                BMW                ","
                X6                ","
                Da                ","
                313 CP        ",38 900        ,na,"
                Proprietar                ","
                Da                ","
                Automata                ",na,"
                2017         "
